sentence,brand_name,info,index,content,total,thank_you
PASARAYA BORONG PINTAR,1,0,0,0,0,0
SDN BHD,1,0,0,0,0,0
"NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4,",0,0,0,1,0,0
MEDAN NIAGA TASIK DAMAI,0,1,0,0,0,0
"016-5498845,",0,1,0,0,0,0
GST No. :,0,1,0,0,0,0
14/03/2018 4:06:34PM,0,1,0,0,0,0
TAX INVOICE,0,1,0,0,0,0
TRRN: CRO00895B,0,1,0,0,0,0
COUNTER 3 CASHIER: 1,0,1,0,0,0,0
QTY UOM UNITAmt Exc. Amt Inc. GST,0,1,0,0,0,0
Price Tax Tax Code,0,0,1,0,0,0
GB CR-CORN,0,1,0,0,0,0
WALK 0.90 0.90 0.90 ZRL,0,0,0,1,0,0
*Total Qty: 1.00 0.90,0,0,0,0,1,0
Total Includes GST 0% 0.90,0,0,0,0,1,0
Cash 5.00,0,0,0,0,1,0
Change 4.10,0,0,0,0,1,0
GST Summary Amount (RM) Tax (RM),0,0,1,0,0,0
“Goods sold are not returnable,0,0,0,0,0,1
Thank you for shopping at PASARAYA,0,0,0,0,0,1
BORONG PINTAR SDN BHD,1,0,0,0,0,0
184.0,1,0,0,0,0,0
Gerbang Alaf Restaurants Sdn Bhd,1,0,0,0,0,0
(B5351-M),0,0,0,0,1,0
Licensee of McBenald’s,0,1,0,0,0,0
"Level G, Bangunan TH, Demensara Uotound",0,1,0,0,0,0
"No.3, Jalan $$21/39,47400 Petaling Jaya",0,1,0,0,0,0
Selangor,0,1,0,0,0,0
(GST ID Ne: 0900504664064),0,1,0,0,0,0
| McDonald's Shell Mahkota Cheras DT (436,0,1,0,0,0,0
Tal No. 03-8010-9849,0,1,0,0,0,0
TAX INVOICE,0,1,0,0,0,0
RFY Side 1,0,1,0,0,0,0
TNV# 00262 1900844541),0,1,0,0,0,0
ORD #64 -REG #19- 30/05/2018 16:07:06,0,1,0,0,0,0
QTY ITEM TOTAL,0,0,1,0,0,0
2 H McPhickEn 1.00,0,0,0,1,0,0
74 ke,0,0,0,1,0,0
2 M Fries,0,0,0,1,0,0
TakeQut Total (inci GST) 198.00,0,0,0,0,1,0
Total Rounded 19.00,0,0,0,0,1,0
"| Pash Terdered 50,00",0,0,0,0,1,0
"- /Ê]hahge 31,00",0,0,0,0,1,0
| TOTAL INCLUDES 6% GST 1.08,0,0,0,0,1,0
Thank You and Please Come Again.,0,0,0,0,0,1
Guest Relations Canter : 1300-13-i3800,0,0,0,0,1,0
UAN HING STATIONERY SDN BHD,1,0,0,0,0,0
(162761-M),0,1,0,0,0,0
"NO.92 & 33, JALAN SR 1.9. SEKSYEN 9.",0,0,0,0,1,0
43300 SERI KEMBAN/(SAH. SELANGOR,0,1,0,0,0,0
GST ID : 002139201536,0,0,0,0,1,0
Tax Invoice,0,1,0,0,0,0
22042018 — _—__ No.:CS-20242,0,1,0,0,0,0
Qty Tax RM,0,1,0,0,0,0
Dursfile H399 (110 x 95mm) 100 SR 58.30,0,0,0,1,0,0
809 Metal Neme Badge Clip 1 SR 2120,0,0,0,1,0,0
~- 100's @ 20 0000,0,0,0,0,1,0
Total Amt Incl. GST @ 6% : 7950 ⁄,0,0,0,0,1,0
Paid Amount 100.00,0,0,0,0,1,0
Change : 20.50,0,0,0,0,1,0
!GST Summary  AmeunL Tax :,0,1,0,0,0,0
‘SR@A 00 450:,0,0,0,0,1,0
¡ Total 75.00 4.50 :,0,0,0,0,1,0
“THANK YOU,0,0,0,0,0,1
Far anv enauiry oleaase cantact in,0,0,0,0,0,1
RESTORAN WAN SHENG |,1,0,0,0,0,0
002043319-W,0,1,0,0,0,0
"No.2, Jalan Temenggung 19/9,",0,1,0,0,0,0
"Seksyen 9, Bandar Mahkota Cheras,",0,1,0,0,0,0
"43200 Cheras, Selangor",0,1,0,0,0,0
GST REG NO: 001335787520,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
INY No.: 1075214 Cashier: Thandar,0,1,0,0,0,0
Pate _ : 02042018 19:30:28,0,1,0,0,0,0
Description Qty U.price Total TAX,0,0,1,0,0,0
MiIo (B),0,0,0,1,0,0
2 2.80 5.60 SR,0,0,0,1,0,0
Take Away,0,0,0,1,0,0
