sentence,brand_name,info,index,content,total,thank_you
FC GOOD COFEE,1,0,0,0,0,0
"ĐC: 126 Lai Hùng Cường, Vĩnh Lọc B,",0,1,0,0,0,0
"Bình Chánh, TpHCM",0,1,0,0,0,0
ĐT: 0934145879,0,1,0,0,0,0
HOA DON BAN HANG,0,1,0,0,0,0
Ngày: 25/03/2019 Số: 031900002,0,1,0,0,0,0
Thu ngan: Administrator In lúc: 15:38,0,1,0,0,0,0
Giờ vao: 15:36,0,1,0,0,0,0
Gio ra: 15:36,0,1,0,0,0,0
Tổng:,0,0,0,0,1,0
"68,000",0,0,0,0,1,0
Cảm ơn Quý khách. Hẹn gặp lại!,0,0,0,0,0,1
PASARAYA BORONG PINTAR,1,0,0,0,0,0
SDN BHD,1,0,0,0,0,0
"NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4,",0,0,0,1,0,0
MEDAN NIAGA TASIK DAMAI,0,1,0,0,0,0
"016-5498845,",0,1,0,0,0,0
GST No. :,0,1,0,0,0,0
14/03/2018 4:06:34PM,0,1,0,0,0,0
TAX INVOICE,0,1,0,0,0,0
TRRN: CRO00895B,0,1,0,0,0,0
COUNTER 3 CASHIER: 1,0,1,0,0,0,0
QTY UOM UNITAmt Exc. Amt Inc. GST,0,1,0,0,0,0
Price Tax Tax Code,0,0,1,0,0,0
GB CR-CORN,0,1,0,0,0,0
WALK 0.90 0.90 0.90 ZRL,0,0,0,1,0,0
*Total Qty: 1.00 0.90,0,0,0,0,1,0
Total Includes GST 0% 0.90,0,0,0,0,1,0
Cash 5.00,0,0,0,0,1,0
Change 4.10,0,0,0,0,1,0
GST Summary Amount (RM) Tax (RM),0,0,1,0,0,0
“Goods sold are not returnable,0,0,0,0,0,1
Thank you for shopping at PASARAYA,0,0,0,0,0,1
BORONG PINTAR SDN BHD,1,0,0,0,0,0
184.0,1,0,0,0,0,0
Gerbang Alaf Restaurants Sdn Bhd,1,0,0,0,0,0
(B5351-M),0,0,0,0,1,0
Licensee of McBenald’s,0,1,0,0,0,0
"Level G, Bangunan TH, Demensara Uotound",0,1,0,0,0,0
"No.3, Jalan $$21/39,47400 Petaling Jaya",0,1,0,0,0,0
Selangor,0,1,0,0,0,0
(GST ID Ne: 0900504664064),0,1,0,0,0,0
| McDonald's Shell Mahkota Cheras DT (436,0,1,0,0,0,0
Tal No. 03-8010-9849,0,1,0,0,0,0
TAX INVOICE,0,1,0,0,0,0
RFY Side 1,0,1,0,0,0,0
TNV# 00262 1900844541),0,1,0,0,0,0
ORD #64 -REG #19- 30/05/2018 16:07:06,0,1,0,0,0,0
QTY ITEM TOTAL,0,0,1,0,0,0
2 H McPhickEn 1.00,0,0,0,1,0,0
74 ke,0,0,0,1,0,0
2 M Fries,0,0,0,1,0,0
TakeQut Total (inci GST) 198.00,0,0,0,0,1,0
Total Rounded 19.00,0,0,0,0,1,0
"| Pash Terdered 50,00",0,0,0,0,1,0
"- /Ê]hahge 31,00",0,0,0,0,1,0
| TOTAL INCLUDES 6% GST 1.08,0,0,0,0,1,0
Thank You and Please Come Again.,0,0,0,0,0,1
Guest Relations Canter : 1300-13-i3800,0,0,0,0,1,0
UAN HING STATIONERY SDN BHD,1,0,0,0,0,0
(162761-M),0,1,0,0,0,0
"NO.92 & 33, JALAN SR 1.9. SEKSYEN 9.",0,0,0,0,1,0
43300 SERI KEMBAN/(SAH. SELANGOR,0,1,0,0,0,0
GST ID : 002139201536,0,0,0,0,1,0
Tax Invoice,0,1,0,0,0,0
22042018 — _—__ No.:CS-20242,0,1,0,0,0,0
Qty Tax RM,0,1,0,0,0,0
Dursfile H399 (110 x 95mm) 100 SR 58.30,0,0,0,1,0,0
809 Metal Neme Badge Clip 1 SR 2120,0,0,0,1,0,0
~- 100's @ 20 0000,0,0,0,0,1,0
Total Amt Incl. GST @ 6% : 7950 ⁄,0,0,0,0,1,0
Paid Amount 100.00,0,0,0,0,1,0
Change : 20.50,0,0,0,0,1,0
!GST Summary  AmeunL Tax :,0,1,0,0,0,0
‘SR@A 00 450:,0,0,0,0,1,0
¡ Total 75.00 4.50 :,0,0,0,0,1,0
“THANK YOU,0,0,0,0,0,1
Far anv enauiry oleaase cantact in,0,0,0,0,0,1
RESTORAN WAN SHENG |,1,0,0,0,0,0
002043319-W,0,1,0,0,0,0
"No.2, Jalan Temenggung 19/9,",0,1,0,0,0,0
"Seksyen 9, Bandar Mahkota Cheras,",0,1,0,0,0,0
"43200 Cheras, Selangor",0,1,0,0,0,0
GST REG NO: 001335787520,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
INY No.: 1075214 Cashier: Thandar,0,1,0,0,0,0
Pate _ : 02042018 19:30:28,0,1,0,0,0,0
Description Qty U.price Total TAX,0,0,1,0,0,0
MiIo (B),0,0,0,1,0,0
2 2.80 5.60 SR,0,0,0,1,0,0
Take Away,0,0,0,1,0,0
2x 0.20 0.40 SR,0,0,0,1,0,0
Total OTY: 4,0,0,0,0,1,0
101a1 (Excluding GST) : 6A,0,0,0,0,1,0
AST payable (6%): UL 34,0,0,0,1,0,0
total (tínclusive of 6SI): _ 6.00,0,0,0,0,1,0
TOFAI.: / 6.00,0,0,0,0,1,0
CASH: 6.00,0,0,0,0,1,0
GST Summary Anount (RM) — Tax(RM),0,0,1,0,0,0
SR (@ 6%) 5.66 0.34,0,0,0,0,1,0
CUA HANG ĐẠI VIỆT,0,1,0,0,0,0
Ðe: Nguyễn Văn Nguy - Nga hanh Sơn -,0,1,0,0,0,0
Hotline : 091554 05 06,0,1,0,0,0,0
HÓA ĐƠN THANH TOÁN,0,1,0,0,0,0
HB: 0002,0,1,0,0,0,0
Ngày 23/04/2018 Giờ 00:39:24.,0,1,0,0,0,0
TÊN HÀNG ˆ,0,0,0,1,0,0
SL  ĐGIÁ TTIÊN,0,0,1,0,0,0
"90,000 50,000",0,0,0,1,0,0
ca phê sữa:,0,0,0,1,0,0
"30,000 30,000",0,0,0,1,0,0
ca phê đen,0,0,0,1,0,0
"_ 20,000 20/000",0,0,0,1,0,0
T.CÔNG:,0,0,0,0,1,0
Tiền mặt 112.000,0,0,0,0,1,0
TỶ giá 35,0,0,0,0,1,0
Một trăm mười hai ngàn đồng,0,0,0,0,1,0
"CẢM ƠN, XIN GẶP LẠI !",0,0,0,0,0,1
Tiên :¡ 1 20/10/2026 1:03109A,0,0,0,1,0,0
"SOH.DON;, 00001-20102014601",0,1,0,0,0,0
GloeVaox 20/10/20141:00118A,0,0,0,0,1,0
