sentence,brand_name,info,index,content,total,thank_you
Ngày: 14/012018 Giờ: 17:25:30,0,1,0,0,0,0
Khang - Cều Giây - HN,0,1,0,0,0,0
Service Charge : RM 0.00,0,0,0,0,1,0
PHIẾU THANH TOÁN,0,1,0,0,0,0
Giảm 10%: 10.000,0,0,0,0,1,0
TP. H6 ChiMinh,0,1,0,0,0,0
"GIẢM % MÓN =7,500",0,0,0,0,1,0
Heo rừng nướng ngữ vị,0,0,0,1,0,0
TÊNHÀNG SL ĐÐĐG T.TIÊN,0,0,1,0,0,0
INVOICE-,0,1,0,0,0,0
"Nước dứa ép 2 45/000 80,000",0,0,0,1,0,0
TIEN MAT 404:000:,0,0,0,0,1,0
PLEASE COME AGAIN !,0,0,0,0,0,1
09144622222 -,0,1,0,0,0,0
Số 25 Nguyễn Khánh Toàn - Câu Giây:,0,1,0,0,0,0
Đ/C: KĐT Sinh Thái Cao Cáp,0,1,0,0,0,0
BAN #,0,1,0,0,0,0
69358 18350846 1X 3.88 3.88,0,0,0,1,0,0
Hóa đơn,0,1,0,0,0,0
"Hàn 20 25000 500,000",0,0,0,1,0,0
"Sô 7 Nam Quôc Cang, Quận 1,",0,1,0,0,0,0
"44 Dao Duy Tu, Hoan Kiem, Ha Noi Viet nam",0,1,0,0,0,0
XIN GẶP LẠI!,0,0,0,0,0,1
Thái Học - TX.Nghĩa Lộ -,0,1,0,0,0,0
"Tiger. Cc 8 16,000 428;000",0,0,0,1,0,0
"Sáu trăm bảy mươi lăm ngàn đồng,/.",0,0,0,0,1,0
F5 MILK TEA-COFFEE-,1,0,0,0,0,0
HĐ: 0006,0,1,0,0,0,0
955691900116 — RE MODELLING CLAY KIDDY FISH,0,0,0,1,0,0
093.66.66.886,0,1,0,0,0,0
"2¬ Ms bó la! cải | 80,000. 160,000",0,0,0,1,0,0
"|>Puddlngtiủng 1 5,000 5,000",0,0,0,1,0,0
"680,000",0,0,0,0,1,0
Pasewifi: 12345679,0,1,0,0,0,0
Lầu thái,0,0,0,1,0,0
| (Tra Kiwi),0,0,0,1,0,0
Khách hàng:,0,1,0,0,0,0
_ T00 50000 0 50.000,0,0,0,1,0,0
KIN CAM O'N - HEN GAP Lali,0,0,0,0,1,0
HÓA ĐƠN THANH TOÁN,0,1,0,0,0,0
"Trả sữa trà xanh. 1 19,000 19,000",0,0,0,1,0,0
"TIEN MAT 89,000",0,0,0,0,1,0
"Phác 020 trâu 1 5,000",0,0,0,1,0,0
HE03-7 - 15,0,0,0,1,0,0
"600,000 4,800,000",0,0,0,1,0,0
19/01/2014 8:49:59CH,0,1,0,0,0,0
Pudding đậu dẻ 1 32000 31000,0,0,0,1,0,0
]|->Đùi gà giòn cay,0,0,0,1,0,0
Yên bái,0,1,0,0,0,0
CHICKEN,1,0,0,0,0,0
"220,000",0,0,0,1,0,0
Tổng cộng 435.000,0,0,0,0,1,0
"Xúc xích | 2| cái 15,000 - 30,000|",0,0,0,1,0,0
"18,010",0,0,0,0,1,0
Mặt hàng |SL |ĐVT |Giá |TTiền,0,0,1,0,0,0
"Tiên thanh toán: 35,000",0,0,0,0,1,0
"GIAM MON. -1,750.",0,0,0,0,1,0
100.0 65.0 0.0 65.0,0,0,0,1,0,0
Tên món SL ĐGiá T.Tiền,0,0,0,1,0,0
HOTLINE: 0984.087.24(¢,0,1,0,0,0,0
CHANGE NX Y RM 18.10,0,0,0,0,1,0
GST/TAX 6A  — : RM 4.13,0,0,0,0,1,0
"41,00 65000 09 6535000",0,0,0,1,0,0
B0PP TAPE 48MM+100MH CLEAR,0,0,0,1,0,0
272 HÀ HUY TẬP - TP. HÀ TĨNH.,0,1,0,0,0,0
Lầu thái,0,0,0,1,0,0
CASH BILL.,0,1,0,0,0,0
9066468 = 1X 8.02 8.02,0,0,0,1,0,0
Que Cho Que Restaurant,1,0,0,0,0,0
"Bia Tiger 3 40,000 0 120,000",0,0,0,1,0,0
Bồ xào củ hành,0,0,0,1,0,0
TY GIA,0,0,0,0,1,0
"LOT 1851-A & 1851-B, JALAN KPB 6,",0,1,0,0,0,0
Date : 25/12/2018 8:13:39 PH,0,1,0,0,0,0
HÓA ĐƠN THANH TOAN,0,1,0,0,0,0
WAXED WINDSHILED CLEANER 120ML,0,0,0,1,0,0
Rounding Adjustment: 0.00,0,0,0,0,1,0
TAKE AWAY,0,1,0,0,0,0
XIN CAM ON - HEN GAP LAI,0,0,0,0,0,1
EXCHANGEABLE,0,0,0,0,0,1
CẢM ƠN QUY KHAcH,0,0,0,0,0,1
"Eee Tuoi Nad 1 70.003 70,000",0,0,0,1,0,0
"Giấc mơ hồng 1 45,000 45,000",0,0,0,1,0,0
