sentence,brand_name,info,index,content,total,thank_you
0971 phì 398 cuộn pudding 010 sn book,1,0,0,0,0,0
b 280g7 wifi 112 tu rh cá 123 non,0,1,0,0,0,0
lương cá điên cá hạ há 0444654 ngừ 220,0,0,1,0,0,0
tám khoa sl 0984 củ chivas nad đơn 13,0,0,0,1,0,0
tiền gọng 00u hà 65 table 16 leather dong môn,0,0,0,0,1,0
khach 031900002 380000 dongid cá ngừ giá đà tien,0,0,0,0,0,1
2bðggq bon joint cuộn thank change sso 88603,1,0,0,0,0,0
kiem 03109a pov caphesuada lúc nông cá 093 3536,0,1,0,0,0,0
gọng cuộn 4395 cá năm bahru mười ngừ 160,0,0,1,0,0,0
măt nha sl văn and trâu gias giờ 50,0,0,0,1,0,0
tiền joint ad 22 49 free thức leather chin pm,0,0,0,0,1,0
chiên bái sung mốt cá ngừ giá đà thành,0,0,0,0,0,1
2dbtn chfíminh 2bðggq cuộn cảm 57 aif tâm,1,0,0,0,0,0
xảo vĩnh yaourt thơm bản mềm cá dầm rounidng,0,1,0,0,0,0
398 cá tcong cá q4 daie vinntaba ngừ quận,0,0,1,0,0,0
non thuy 1 só lương 900 ức giờ tien,0,0,0,1,0,0
hàng leather d4 13 khach fay x leather lim 750,0,0,0,0,1,0
cong riêng 85 lá cá ngừ t nẵng tiên,0,0,0,0,0,1
trời ngừ,1,0,0,0,0,0
cá ngừ chanh nẵng,0,1,0,0,0,0
ngừ ngừ,0,0,1,0,0,0
hành ngừ muỗi,0,0,0,1,0,0
cá ngừ,1,0,0,0,0,0
ngừ 20102014601,0,1,0,0,0,0
ngừ ngừ,0,0,1,0,0,0
nau ngừ,0,0,0,1,0,0
ngừ ngừ ngừ nẵng,0,0,0,0,1,0
frequilasunce 1851,0,0,0,0,0,1
1n ex ngừ,1,0,0,0,0,0
ngừ cafe ngừ 03109a sen ngừ,0,1,0,0,0,0
ngừ là,0,0,1,0,0,0
ngừ ngừ eo,0,0,0,1,0,0
ngừ 11720,0,0,0,0,1,0
tiger ngừ,0,0,0,0,0,1
ngừ,1,0,0,0,0,0
ngừ cam vào đằng,0,1,0,0,0,0
ngừ ngừ 000 ngừ,0,0,1,0,0,0
pov muoi ngừ,0,0,0,1,0,0
lắc bạch 1 ngừ bè,1,0,0,0,0,0
ngừ đằng dgia,0,1,0,0,0,0
thành cà tập,0,0,1,0,0,0
42 giá,0,0,0,1,0,0
ngừ ngừ,0,0,0,0,1,0
ngừ 540000 cá,0,0,0,0,0,1
vien py joint,1,0,0,0,0,0
4,0,1,0,0,0,0
tênhàng đà nẵng go,0,0,1,0,0,0
ngừ ngừ,0,0,0,1,0,0
ngừ,0,0,0,0,1,0
thạchtráicây leather ngừ 604,0,0,0,0,0,1
ngừ,1,0,0,0,0,0
điển,0,1,0,0,0,0
ngừ xèo ngừ,0,0,1,0,0,0
ngừ,0,0,0,1,0,0
sữa,0,0,0,0,1,0
đằng ngừ biét,0,0,0,0,0,1
sữa,1,0,0,0,0,0
cá,0,1,0,0,0,0
đà 95,0,0,1,0,0,0
ngừ cá sữa 2018,0,0,0,1,0,0
ngừ,0,0,0,0,1,0
ngừ,1,0,0,0,0,0
ngừ,0,1,0,0,0,0
sl quý,0,0,1,0,0,0
ngừ,1,0,0,0,0,0
4l jalan,1,0,0,0,0,0
ngừ,0,1,0,0,0,0
8,0,0,1,0,0,0
000,0,0,0,1,0,0
000 sl,1,0,0,0,0,0
cone s1,0,1,0,0,0,0
gap leather ngừ,0,0,1,0,0,0
ngừ,0,0,0,1,0,0
ngừ,0,0,0,0,1,0
ngừ 350 ngừ,0,0,0,0,0,1
