sentence,brand_name,info,index,content,total,thank_you
000 bll tính qty cá lá cone xuân 51c44458,1,0,0,0,0,0
300 49 20141017 00098 36 hẽn rok xào sụn,0,1,0,0,0,0
rok lương chin cuộn q4 lộ 5c bạch tt,0,0,1,0,0,0
fashion bè ca 243 qty 0 prawns 5cl ơn 40,0,0,0,1,0,0
000 đằng den cong 16 muỗi 0u ptt đà thúc,0,0,0,0,1,0
735 chủamnghêu 55000 198 cá tra 100 489 100,0,0,0,0,0,1
tiền 000,1,0,0,0,0,0
40 muối ngừ,0,1,0,0,0,0
sl,0,0,1,0,0,0
ngừ ngừ tiger,0,0,0,1,0,0
sl 144,0,0,0,0,1,0
hulu cay,0,0,0,0,0,1
t lương quận,1,0,0,0,0,0
cong mocals,1,0,0,0,0,0
120 nẵng,0,1,0,0,0,0
cá 000,0,0,1,0,0,0
thức sl 000 200,0,0,0,1,0,0
sl 000 220,0,0,0,0,1,0
tiên,0,0,0,0,0,1
5 67,1,0,0,0,0,0
come dừa 003 1,0,1,0,0,0,0
t 100 thach,0,0,1,0,0,0
sl t 37 giòn cong giamitien 0u,0,0,0,1,0,0
30,0,0,0,0,1,0
—,0,0,0,0,0,1
tt dẫn me capheren quầy,1,0,0,0,0,0
1 2 130 gtgt 45000 pax bàp,0,1,0,0,0,0
cánh sầu lương trần 0 cám sl,0,0,1,0,0,0
000 t 04 again 0984 chai 4851,0,0,0,1,0,0
05 dam 000 55,1,0,0,0,0,0
sl tiền cong 780000,0,1,0,0,0,0
hàng 1 000 400 green,0,0,1,0,0,0
đen tuyết 86 lắc hàng tấn 20,0,0,0,1,0,0
4 súa,1,0,0,0,0,0
củ,0,1,0,0,0,0
sl 120 gặp ơn eo trang steahk,0,0,1,0,0,0
1 trả ngày so cám 0 941 35 07,0,0,0,1,0,0
1 hàng cá 4x ngừ,0,0,0,0,1,0
1 2018,0,0,0,0,0,1
1 tiền mặt 0u bill nguyễn sung,1,0,0,0,0,0
giờ mudi total gặp pm,0,1,0,0,0,0
hàng 2 tien 81100 no giờ 95,0,0,1,0,0,0
hàng khách tiền tiền bao 80 giờ 49,0,0,0,1,0,0
0 thịfräm ngàn 36 duy,0,0,0,0,1,0
00 tel 750 tiger bá»hxègsze,0,0,0,0,0,1
tiền 9 tieu thôi trích ‘change,1,0,0,0,0,0
giá 00 tam prawns 51,0,1,0,0,0,0
50 tươi count bóng đơn aif hang,0,0,1,0,0,0
1 t 32 mbb tiên mocha rang,0,0,0,1,0,0
10 giam khách,0,0,0,0,1,0
khong phiếu nau duy cái,1,0,0,0,0,0
0903144 bida văn hóa trên,0,1,0,0,0,0
1 t tươi đ 5 40 í,0,0,1,0,0,0
hàng giá giòn 2018 ‘tran summary 00 0 hàng cam,0,0,0,1,0,0
sl 30 luong tiền,0,0,0,0,1,0
000 1122271042015 hotline công tra thạchtráicây,0,0,0,0,0,1
tên mãi,1,0,0,0,0,0
sl giá 13 giờ rm,0,1,0,0,0,0
6 000 1 1 10 0,0,0,1,0,0,0
again hàng 000 hàng 1,0,0,0,1,0,0
000 hàng 11 tiên 11,0,0,0,0,1,0
hàng hàng 4 quản hàng t giá ca cashier i,0,0,0,0,0,1
4 chin phở nẵng,1,0,0,0,0,0
1 tiền bàn01 1n 2016 056100311,0,1,0,0,0,0
sữa hàng sl 0 tiền 000 hàng,0,0,1,0,0,0
2 000 trà 30 118 17 79 tu,0,0,0,1,0,0
t,0,0,0,0,1,0
10 tra 091554 tram 52001 1385,0,0,0,0,0,1
25 trà 12 quy 32,1,0,0,0,0,0
ptt 10,0,1,0,0,0,0
giá lar hàng —,0,0,1,0,0,0
khách 2 458001 crfeuceiriglce,0,0,0,1,0,0
1 “tax khách 160 cafe 13 60,0,0,0,0,1,0
sl 6684 chỉ ot,0,0,0,0,0,1
000 mon — hb rounding b4n s6ct,1,0,0,0,0,0
khách giá usn jmụ'c a1 55000 duck,0,1,0,0,0,0
hàng 000 28 kiwi thu đồ bên,0,0,1,0,0,0
cuộn nẵng sụn,1,0,0,0,0,0
thanh chiến an 398 s1,0,1,0,0,0,0
hàng 17 000 17,0,0,1,0,0,0
091800001 gio thăng phiếu f13q4 hàng quán 735,0,0,0,1,0,0
000 000 on sl 0 22,0,0,0,0,1,0
10 cảm 1 giờ x,0,0,0,0,0,1
95 30 40 tây 3003,1,0,0,0,0,0
giá 000 12 cafe cảm,0,1,0,0,0,0
000 kdo 20 5,0,0,1,0,0,0
000 tiền ngày tên tiền gst quý,0,0,0,1,0,0
t o'n hang công,0,0,0,0,1,0
giờ t tên 150 4851 vnđ,0,0,0,0,0,1
ngày sl ngân nước ex,1,0,0,0,0,0
dan 5 400 33 hoang,0,1,0,0,0,0
000 30 hàng 1 lò ca hàng 13,0,0,1,0,0,0
198 35,0,0,0,1,0,0
cashier t bản gặp 36,0,0,0,0,1,0
420 tên 14 0903915144 vi,0,0,0,0,0,1
tiền 000 80 xin uống crfeuceiriglce,1,0,0,0,0,0
000 00 20 tên 4103106,0,1,0,0,0,0
tiền 0 cam 2 10 000 quý,0,0,1,0,0,0
30 sl bình khách 25 t 0 ngày ngân,0,0,0,1,0,0
re3 công son sl tiền,0,0,0,0,1,0
1 trà 16 10 pax,0,0,0,0,0,1
