sentence,brand_name,info,index,content,total,thank_you
0971 kho joint cuộn i í131a frequilasunce yaourt,1,0,0,0,0,0
you 742 dịch 23ll5í ten 1b cuộn jin mtv,0,1,0,0,0,0
hành cá 43pm cá thuốc 114019 tuần ngừ duy,0,0,1,0,0,0
mtv re3 sl 4x rok within 102613 5 8,0,0,0,1,0,0
0 leather 57 on cong handmade 65 lương come sung,0,0,0,0,1,0
11 go gi bên cá ngừ t đà 19,0,0,0,0,0,1
ngừ,1,0,0,0,0,0
1122271042015 bạch đằng 1 36100311,0,1,0,0,0,0
tênhàng,0,0,1,0,0,0
đg prowct ngừ,0,0,0,1,0,0
,0,0,0,0,1,0
prawns ngừ,0,0,0,0,0,1
,1,0,0,0,0,0
400,0,1,0,0,0,0
,0,0,1,0,0,0
,0,0,0,1,0,0
,0,0,0,0,1,0
ngừ t,0,0,0,0,0,1
ngừ,1,0,0,0,0,0
ngừ ngừ,0,1,0,0,0,0
cá ngừ ngừ âu,0,0,1,0,0,0
ad ngừ,0,0,0,1,0,0
trần ngừ,0,0,0,0,1,0
ngừ lương món ngày,0,0,0,0,0,1
,1,0,0,0,0,0
,0,1,0,0,0,0
cuộn ngừ,0,0,1,0,0,0
ngừ vao ngừ,0,0,0,1,0,0
2 khách 24,0,0,0,0,1,0
nâu năm,0,0,0,0,0,1
