sentence,brand_name,info,index,content,total,thank_you
DT: 0903915144,0,1,0,0,0,0
FC GOOD COFEE,1,0,0,0,0,0
"ĐC: 126 Lai Hùng Cường, Vĩnh Lọc B,",0,1,0,0,0,0
"Bình Chánh, TpHCM",0,1,0,0,0,0
ĐT: 0934145879,0,1,0,0,0,0
Ngày: 25/03/2019 Số: 031900002,0,1,0,0,0,0
Thu ngan: Administrator In lúc: 15:38,0,1,0,0,0,0
Giờ vao: 15:36,0,1,0,0,0,0
Gio ra: 15:36,0,1,0,0,0,0
Tổng:,0,0,0,0,1,0
"68,000",0,0,0,0,1,0
Cảm ơn Quý khách. Hẹn gặp lại!,0,0,0,0,0,1
CUA HANG ĐẠI VIỆT,1,0,0,0,0,0
Ðe: Nguyễn Văn Nguy - Nga hanh Sơn -,0,1,0,0,0,0
Hotline : 091554 05 06,0,1,0,0,0,0
HB: 0002,0,1,0,0,0,0
Ngày 23/04/2018 Giờ 00:39:24.,0,1,0,0,0,0
TÊN HÀNG ˆ,0,0,0,1,0,0
SL  ĐGIÁ TTIÊN,0,0,1,0,0,0
"90,000 50,000",0,0,0,1,0,0
ca phê sữa:,0,0,0,1,0,0
"30,000 30,000",0,0,0,1,0,0
ca phê đen,0,0,0,1,0,0
"_ 20,000 20/000",0,0,0,1,0,0
T.CÔNG:,0,0,0,0,1,0
Tiền mặt 112.000,0,0,0,0,1,0
TỶ giá 35,0,0,0,0,1,0
Một trăm mười hai ngàn đồng,0,0,0,0,1,0
"CẢM ƠN, XIN GẶP LẠI !",0,0,0,0,0,1
Tiên :¡ 1 20/10/2026 1:03109A,0,0,0,1,0,0
"SOH.DON;, 00001-20102014601",0,1,0,0,0,0
GloeVaox 20/10/20141:00118A,0,0,0,0,1,0
gio Ra : 20/10/2014 4103106 A,0,1,0,0,0,0
"4 x 90,000,000 360,000,000",0,0,0,1,0,0
"2.x 1,000,000 2,000,000",0,0,0,1,0,0
"3 x 10,000,000 30,000,000",0,0,0,1,0,0
COCACOLA,0,0,0,1,0,0
"20 .x 100,000 2,000,000",0,0,0,1,0,0
HOA OUA,0,1,0,0,0,0
"3x 2,000,000 6,000,000",0,0,0,1,0,0
"m,CỘNG 400,000,000",0,0,0,1,0,0
"KHACH TRA 400,000,000",0,0,0,0,1,0
"VND: 400,000,000",0,0,0,1,0,0
CAM ON QUÝ KHAGH,0,0,0,0,0,1
Coffee Kem Sen Trang,1,0,0,0,0,0
Đường Sá 2 - KDC 1385 - TT. Bên Lư,0,1,0,0,0,0
Ngày 13/09/2017 Giờ  12:24:54,0,1,0,0,0,0
BAN: A1.,0,1,0,0,0,0
TÊN HÀNG SL ĐGIÁ T.TIỀN,0,0,1,0,0,0
"Yaourt Nha Dam 1 25,000 25,000",0,0,0,1,0,0
"Chanh Dây 4 20,000 20,000",0,0,0,1,0,0
"Kem Socola 1 22,000 22,000",0,0,0,1,0,0
"Kem Vanila 1 22,000 22,000",0,0,0,1,0,0
"Kem Sầu Riêng 1 22,000 22,000",0,0,0,1,0,0
"Kem Dừa 1 22,000 22,000",0,0,0,1,0,0
DT: 0903144,0,1,0,0,0,0
"Nước Ép Ổi 1 28,000 28,000",0,0,0,0,1,0
"Nước Ép Thơm 1 28,000 28,000",0,0,0,1,0,0
"T.CONG 8 489,000",0,0,0,0,1,0
"GIAM % HB (-20%) -37,800",0,0,0,0,1,0
"TIEN MAT 151,200",0,0,0,0,1,0
Một trăm năm mươi mốt ngàn hai trăm,0,0,0,0,1,0
19/03/2018 1:01:43PM,0,1,0,0,0,0
AZTEEN,1,0,0,0,0,0
Tran Hung Bao - TT.Nam Sách - T.Hai Dương.,0,1,0,0,0,0
Ngày: 26/01⁄2018 Giờ: 11:40:19,0,1,0,0,0,0
"Pudding trứng 1 5,000 5,000",0,0,0,1,0,0
"Thạch trái cây 1 5000 5,000",0,0,0,1,0,0
"Trà sữa khoai môn 1 19,000 19,000",0,0,0,1,0,0
"Thach trái cay 1 5,000  5,000",0,0,0,1,0,0
"Thạch 3Q 1 5,000 5,000",0,0,0,1,0,0
"T.CỘNG 5 58,000",0,0,0,0,1,0
** BAN SAO HOA DON ****,0,1,0,0,0,0
