sentence,title,address,phone,datetime,table,client_no,cashier,website
DT: 0903915144,0,0,1,0,0,0,0,0
"ĐC: 126 Lai Hùng Cường, Vĩnh Lọc B,",0,1,0,0,0,0,0,0
"Bình Chánh, TpHCM",0,1,0,0,0,0,0,0
ĐT: 0934145879,0,0,1,0,0,0,0,0
Ngày: 25/03/2019 Số: 031900002,0,0,0,1,0,0,0,0
Thu ngan: Administrator In lúc: 15:38,0,0,0,0,0,0,1,0
Giờ vao: 15:36,0,0,0,1,0,0,0,0
Gio ra: 15:36,0,0,0,1,0,0,0,0
CUA HANG ĐẠI VIỆT,1,0,0,0,0,0,0,0
Ðe: Nguyễn Văn Nguy - Nga hanh Sơn -,0,1,0,0,0,0,0,0
Hotline : 091554 05 06,0,0,1,0,0,0,0,0
HB: 0002,0,0,0,0,0,0,1,0
Ngày 23/04/2018 Giờ 00:39:24.,0,0,1,0,0,0,0,0
"SOH.DON;, 00001-20102014601",0,0,0,0,0,0,1,0
gio Ra : 20/10/2014 4103106 A,0,0,0,1,0,0,0,0
HOA OUA,1,0,0,0,0,0,0,0
Đường Sá 2 - KDC 1385 - TT. Bên Lư,0,1,0,0,0,0,0,0
Ngày 13/09/2017 Giờ  12:24:54,0,0,0,1,0,0,0,0
BAN: A1.,0,0,0,0,1,0,0,0
DT: 0903144,0,0,1,0,0,0,0,0
19/03/2018 1:01:43PM,0,0,0,1,0,0,0,0
Tran Hung Bao - TT.Nam Sách - T.Hai Dương.,0,1,0,0,0,0,0,0
Ngày: 26/01⁄2018 Giờ: 11:40:19,0,0,0,1,0,0,0,0
** BAN SAO HOA DON ****,1,0,0,0,0,0,0,0
925/15 Âu Cơ -P. Tân Sơn Nhì - Q.Tan,0,1,0,0,0,0,0,0
Phú - 08 6684 1111,0,0,1,0,0,0,0,0
Phiếu Thanh Toán,1,0,0,0,0,0,0,0
Khách hàng: Nguyễn Văn A -,0,0,0,0,0,1,0,0
Số PTT: 00000066 Ngày: 13/01/15 - 11720,0,0,0,1,0,0,0,0
Ca: 1 - Thu ngan: cashier,0,0,0,0,0,0,1,0
DT: 09033d4,0,0,1,0,0,0,0,0
con:,1,0,0,0,0,0,0,0
Hoa don,1,0,0,0,0,0,0,0
2016-05-05 19:01 No:0003 01-Cashier,0,0,0,1,0,0,0,0
dT: 0903915144,0,0,1,0,0,0,0,0
Ran so ' 8B.,0,0,0,0,0,1,0,0
Tao QUẦN NHẬU BÌNH DẪN 120,1,0,0,0,0,0,0,0
Uỳnh Tấn Phát - Hai Chấu - Địi Nông,0,1,0,0,0,0,0,0
Sð phiếu: g2aa _,0,0,0,0,0,0,1,0
dt: 0444654,0,0,1,0,0,0,0,0
DT: 4462164665498,0,0,1,0,0,0,0,0
Bàn01 ` 19/01/2014 8:49:59H ˆ,0,0,0,0,1,0,0,0
17-19 TON DAN F13Q4 TPHCM,0,1,0,0,0,0,0,0
CA 1 MC #01 00098/,0,0,0,0,0,0,1,0
Ngày vào 23112015 Gi@ vào: 124727,0,0,0,1,0,0,0,0
Ngày: — 23/12015 Giờ 1424727,0,0,0,1,0,0,0,0
Ban: TRET1,0,0,0,0,1,0,0,0
DT: 51c44458,0,0,1,0,0,0,0,0
HOTLINE: 0984.087.24,0,0,1,0,0,0,0,0
Veg Fish Farm Thai Restaurant S/B,1,0,0,0,0,0,0,0
mp. Re3. Ne. 926627-V,0,1,0,0,0,0,0,0
"KM 4, Jin Ampang, Hulu Langat,",0,1,0,0,0,0,0,0
"G8000 Amapny, Selangor.",0,1,0,0,0,0,0,0
(601 2-2€0 6493 or +6012-286 8193,0,0,1,0,0,0,0,0
“TAX INVOICE***,1,0,0,0,0,0,0,0
GST Reg. No.: 0008 3385 3536,0,0,0,0,0,1,0,0
(DUFLICATED),1,0,0,0,0,0,0,0
"Hat CLOSE on , BỤẾA 2018 náo sz",1,0,0,0,0,0,0,0
HĐ;BH:20141017.006 HĐB;18.20141016.0001,0,0,0,0,1,0,0,0
PHIẾU THANH TOÁN.,1,0,0,0,0,0,0,0
THỦ NGÂN: mo. NV. BAN:,0,0,0,0,0,0,1,0
0982 434 830,0,0,1,0,0,0,0,0
